ticker,source_count,source_weight_sum,theme_count,sources,categories,in_core_growth,in_large_cap_core,in_manual_core
FITB,1,3.0,1,SPY,large_cap_core,0,1,0
FIX,1,3.0,1,SPY,large_cap_core,0,1,0
FRT,1,3.0,1,SPY,large_cap_core,0,1,0
FTV,1,3.0,1,SPY,large_cap_core,0,1,0
GD,1,3.0,1,SPY,large_cap_core,0,1,0
GDDY,1,3.0,1,SPY,large_cap_core,0,1,0
GE,1,3.0,1,SPY,large_cap_core,0,1,0
GEN,1,3.0,1,SPY,large_cap_core,0,1,0
GILD,1,3.0,1,SPY,large_cap_core,0,1,0
GIS,1,3.0,1,SPY,large_cap_core,0,1,0
GL,1,3.0,1,SPY,large_cap_core,0,1,0
GLW,1,3.0,1,SPY,large_cap_core,0,1,0
GM,1,3.0,1,SPY,large_cap_core,0,1,0
GNRC,1,3.0,1,SPY,large_cap_core,0,1,0
GPC,1,3.0,1,SPY,large_cap_core,0,1,0
GPN,1,3.0,1,SPY,large_cap_core,0,1,0
GS,1,3.0,1,SPY,large_cap_core,0,1,0
GWW,1,3.0,1,SPY,large_cap_core,0,1,0
HAL,1,3.0,1,SPY,large_cap_core,0,1,0
HBAN,1,3.0,1,SPY,large_cap_core,0,1,0
HCA,1,3.0,1,SPY,large_cap_core,0,1,0
HD,1,3.0,1,SPY,large_cap_core,0,1,0
HIG,1,3.0,1,SPY,large_cap_core,0,1,0
HII,1,3.0,1,SPY,large_cap_core,0,1,0
HLT,1,3.0,1,SPY,large_cap_core,0,1,0
HPE,1,3.0,1,SPY,large_cap_core,0,1,0
HPQ,1,3.0,1,SPY,large_cap_core,0,1,0
HRL,1,3.0,1,SPY,large_cap_core,0,1,0
HST,1,3.0,1,SPY,large_cap_core,0,1,0
HSY,1,3.0,1,SPY,large_cap_core,0,1,0
HUBB,1,3.0,1,SPY,large_cap_core,0,1,0
HUM,1,3.0,1,SPY,large_cap_core,0,1,0
HWM,1,3.0,1,SPY,large_cap_core,0,1,0
IBKR,1,3.0,1,SPY,large_cap_core,0,1,0
IBM,1,3.0,1,SPY,large_cap_core,0,1,0
ICE,1,3.0,1,SPY,large_cap_core,0,1,0
IEX,1,3.0,1,SPY,large_cap_core,0,1,0
IFF,1,3.0,1,SPY,large_cap_core,0,1,0
INTC,1,3.0,1,SPY,large_cap_core,0,1,0
INTU,1,3.0,1,SPY,large_cap_core,0,1,0
INVH,1,3.0,1,SPY,large_cap_core,0,1,0
IP,1,3.0,1,SPY,large_cap_core,0,1,0
IQV,1,3.0,1,SPY,large_cap_core,0,1,0
IR,1,3.0,1,SPY,large_cap_core,0,1,0
IRM,1,3.0,1,SPY,large_cap_core,0,1,0
ISRG,1,3.0,1,SPY,large_cap_core,0,1,0
IT,1,3.0,1,SPY,large_cap_core,0,1,0
ITW,1,3.0,1,SPY,large_cap_core,0,1,0
IVZ,1,3.0,1,SPY,large_cap_core,0,1,0
J,1,3.0,1,SPY,large_cap_core,0,1,0
JBL,1,3.0,1,SPY,large_cap_core,0,1,0
JCI,1,3.0,1,SPY,large_cap_core,0,1,0
JKHY,1,3.0,1,SPY,large_cap_core,0,1,0
JNJ,1,3.0,1,SPY,large_cap_core,0,1,0
JPM,1,3.0,1,SPY,large_cap_core,0,1,0
KEY,1,3.0,1,SPY,large_cap_core,0,1,0
KEYS,1,3.0,1,SPY,large_cap_core,0,1,0
KIM,1,3.0,1,SPY,large_cap_core,0,1,0
KKR,1,3.0,1,SPY,large_cap_core,0,1,0
KMB,1,3.0,1,SPY,large_cap_core,0,1,0
KMI,1,3.0,1,SPY,large_cap_core,0,1,0
KO,1,3.0,1,SPY,large_cap_core,0,1,0
KR,1,3.0,1,SPY,large_cap_core,0,1,0
KVUE,1,3.0,1,SPY,large_cap_core,0,1,0
L,1,3.0,1,SPY,large_cap_core,0,1,0
LDOS,1,3.0,1,SPY,large_cap_core,0,1,0
LEN,1,3.0,1,SPY,large_cap_core,0,1,0
LEU,1,3.0,1,manual,manual_core,0,0,1
LH,1,3.0,1,SPY,large_cap_core,0,1,0
LHX,1,3.0,1,SPY,large_cap_core,0,1,0
LII,1,3.0,1,SPY,large_cap_core,0,1,0
LLY,1,3.0,1,SPY,large_cap_core,0,1,0
LMT,1,3.0,1,SPY,large_cap_core,0,1,0
LNT,1,3.0,1,SPY,large_cap_core,0,1,0
LOW,1,3.0,1,SPY,large_cap_core,0,1,0
LUV,1,3.0,1,SPY,large_cap_core,0,1,0
LVS,1,3.0,1,SPY,large_cap_core,0,1,0
LYB,1,3.0,1,SPY,large_cap_core,0,1,0
LYV,1,3.0,1,SPY,large_cap_core,0,1,0
MA,1,3.0,1,SPY,large_cap_core,0,1,0
MAA,1,3.0,1,SPY,large_cap_core,0,1,0
MAS,1,3.0,1,SPY,large_cap_core,0,1,0
MCD,1,3.0,1,SPY,large_cap_core,0,1,0
MCK,1,3.0,1,SPY,large_cap_core,0,1,0
MCO,1,3.0,1,SPY,large_cap_core,0,1,0
MDLZ,1,3.0,1,SPY,large_cap_core,0,1,0
MDT,1,3.0,1,SPY,large_cap_core,0,1,0
MET,1,3.0,1,SPY,large_cap_core,0,1,0
MGM,1,3.0,1,SPY,large_cap_core,0,1,0
MKC,1,3.0,1,SPY,large_cap_core,0,1,0
MLM,1,3.0,1,SPY,large_cap_core,0,1,0
MMM,1,3.0,1,SPY,large_cap_core,0,1,0
MO,1,3.0,1,SPY,large_cap_core,0,1,0
MOS,1,3.0,1,SPY,large_cap_core,0,1,0
MPC,1,3.0,1,SPY,large_cap_core,0,1,0
MRK,1,3.0,1,SPY,large_cap_core,0,1,0
MRSH,1,3.0,1,SPY,large_cap_core,0,1,0
MS,1,3.0,1,SPY,large_cap_core,0,1,0
MSCI,1,3.0,1,SPY,large_cap_core,0,1,0
MSI,1,3.0,1,SPY,large_cap_core,0,1,0
MTB,1,3.0,1,SPY,large_cap_core,0,1,0
MTD,1,3.0,1,SPY,large_cap_core,0,1,0
NDAQ,1,3.0,1,SPY,large_cap_core,0,1,0
NDSN,1,3.0,1,SPY,large_cap_core,0,1,0
NEE,1,3.0,1,SPY,large_cap_core,0,1,0
NEM,1,3.0,1,SPY,large_cap_core,0,1,0
NI,1,3.0,1,SPY,large_cap_core,0,1,0
NKE,1,3.0,1,SPY,large_cap_core,0,1,0
NOC,1,3.0,1,SPY,large_cap_core,0,1,0
NRG,1,3.0,1,SPY,large_cap_core,0,1,0
NSC,1,3.0,1,SPY,large_cap_core,0,1,0
NTRS,1,3.0,1,SPY,large_cap_core,0,1,0
NUE,1,3.0,1,SPY,large_cap_core,0,1,0
NVR,1,3.0,1,SPY,large_cap_core,0,1,0
NWS,1,3.0,1,SPY,large_cap_core,0,1,0
O,1,3.0,1,SPY,large_cap_core,0,1,0
OKE,1,3.0,1,SPY,large_cap_core,0,1,0
OMC,1,3.0,1,SPY,large_cap_core,0,1,0
OTIS,1,3.0,1,SPY,large_cap_core,0,1,0
OXY,1,3.0,1,SPY,large_cap_core,0,1,0
PAYX,1,3.0,1,SPY,large_cap_core,0,1,0
PCAR,1,3.0,1,SPY,large_cap_core,0,1,0
PCG,1,3.0,1,SPY,large_cap_core,0,1,0
PEG,1,3.0,1,SPY,large_cap_core,0,1,0
PFE,1,3.0,1,SPY,large_cap_core,0,1,0
PFG,1,3.0,1,SPY,large_cap_core,0,1,0
PG,1,3.0,1,SPY,large_cap_core,0,1,0
PGR,1,3.0,1,SPY,large_cap_core,0,1,0
PH,1,3.0,1,SPY,large_cap_core,0,1,0
PHM,1,3.0,1,SPY,large_cap_core,0,1,0
PKG,1,3.0,1,SPY,large_cap_core,0,1,0
PLD,1,3.0,1,SPY,large_cap_core,0,1,0
PLUG,1,3.0,1,manual,manual_core,0,0,1
PM,1,3.0,1,SPY,large_cap_core,0,1,0
PNC,1,3.0,1,SPY,large_cap_core,0,1,0
PNR,1,3.0,1,SPY,large_cap_core,0,1,0
PNW,1,3.0,1,SPY,large_cap_core,0,1,0
PODD,1,3.0,1,SPY,large_cap_core,0,1,0
PPG,1,3.0,1,SPY,large_cap_core,0,1,0
PPL,1,3.0,1,SPY,large_cap_core,0,1,0
PRU,1,3.0,1,SPY,large_cap_core,0,1,0
PSA,1,3.0,1,SPY,large_cap_core,0,1,0
PSKY,1,3.0,1,SPY,large_cap_core,0,1,0
PSX,1,3.0,1,SPY,large_cap_core,0,1,0
PTC,1,3.0,1,SPY,large_cap_core,0,1,0
PWR,1,3.0,1,SPY,large_cap_core,0,1,0
Q,1,3.0,1,SPY,large_cap_core,0,1,0
QCOM,1,3.0,1,SPY,large_cap_core,0,1,0
RCL,1,3.0,1,SPY,large_cap_core,0,1,0
REG,1,3.0,1,SPY,large_cap_core,0,1,0
RF,1,3.0,1,SPY,large_cap_core,0,1,0
RJF,1,3.0,1,SPY,large_cap_core,0,1,0
RL,1,3.0,1,SPY,large_cap_core,0,1,0
RMD,1,3.0,1,SPY,large_cap_core,0,1,0
ROK,1,3.0,1,SPY,large_cap_core,0,1,0
ROL,1,3.0,1,SPY,large_cap_core,0,1,0
RSG,1,3.0,1,SPY,large_cap_core,0,1,0
RTX,1,3.0,1,SPY,large_cap_core,0,1,0
RVTY,1,3.0,1,SPY,large_cap_core,0,1,0
SBUX,1,3.0,1,SPY,large_cap_core,0,1,0
SCHW,1,3.0,1,SPY,large_cap_core,0,1,0
SEDG,1,3.0,1,manual,manual_core,0,0,1
SHW,1,3.0,1,SPY,large_cap_core,0,1,0
SJM,1,3.0,1,SPY,large_cap_core,0,1,0
SLB,1,3.0,1,SPY,large_cap_core,0,1,0
SNA,1,3.0,1,SPY,large_cap_core,0,1,0
SO,1,3.0,1,SPY,large_cap_core,0,1,0
SOLV,1,3.0,1,SPY,large_cap_core,0,1,0
SPG,1,3.0,1,SPY,large_cap_core,0,1,0
SPGI,1,3.0,1,SPY,large_cap_core,0,1,0
SRE,1,3.0,1,SPY,large_cap_core,0,1,0
STE,1,3.0,1,SPY,large_cap_core,0,1,0
STT,1,3.0,1,SPY,large_cap_core,0,1,0
STZ,1,3.0,1,SPY,large_cap_core,0,1,0
SW,1,3.0,1,SPY,large_cap_core,0,1,0
SWK,1,3.0,1,SPY,large_cap_core,0,1,0
SYF,1,3.0,1,SPY,large_cap_core,0,1,0
SYK,1,3.0,1,SPY,large_cap_core,0,1,0
SYY,1,3.0,1,SPY,large_cap_core,0,1,0
T,1,3.0,1,SPY,large_cap_core,0,1,0
TAP,1,3.0,1,SPY,large_cap_core,0,1,0
TDG,1,3.0,1,SPY,large_cap_core,0,1,0
TDY,1,3.0,1,SPY,large_cap_core,0,1,0
TECH,1,3.0,1,SPY,large_cap_core,0,1,0
TEL,1,3.0,1,SPY,large_cap_core,0,1,0
TFC,1,3.0,1,SPY,large_cap_core,0,1,0
TGT,1,3.0,1,SPY,large_cap_core,0,1,0
TJX,1,3.0,1,SPY,large_cap_core,0,1,0
TKO,1,3.0,1,SPY,large_cap_core,0,1,0
TMO,1,3.0,1,SPY,large_cap_core,0,1,0
TPL,1,3.0,1,SPY,large_cap_core,0,1,0
TPR,1,3.0,1,SPY,large_cap_core,0,1,0
TRGP,1,3.0,1,SPY,large_cap_core,0,1,0
TRMB,1,3.0,1,SPY,large_cap_core,0,1,0
TROW,1,3.0,1,SPY,large_cap_core,0,1,0
TRV,1,3.0,1,SPY,large_cap_core,0,1,0
TSN,1,3.0,1,SPY,large_cap_core,0,1,0
TT,1,3.0,1,SPY,large_cap_core,0,1,0
TXT,1,3.0,1,SPY,large_cap_core,0,1,0
TYL,1,3.0,1,SPY,large_cap_core,0,1,0
UBER,1,3.0,1,SPY,large_cap_core,0,1,0
UDR,1,3.0,1,SPY,large_cap_core,0,1,0
UHS,1,3.0,1,SPY,large_cap_core,0,1,0
UNH,1,3.0,1,SPY,large_cap_core,0,1,0
UNP,1,3.0,1,SPY,large_cap_core,0,1,0
UPS,1,3.0,1,SPY,large_cap_core,0,1,0
URI,1,3.0,1,SPY,large_cap_core,0,1,0
USB,1,3.0,1,SPY,large_cap_core,0,1,0
UUUU,1,3.0,1,manual,manual_core,0,0,1
V,1,3.0,1,SPY,large_cap_core,0,1,0
VEEV,1,3.0,1,SPY,large_cap_core,0,1,0
VICI,1,3.0,1,SPY,large_cap_core,0,1,0
VLO,1,3.0,1,SPY,large_cap_core,0,1,0
VLTO,1,3.0,1,SPY,large_cap_core,0,1,0
VMC,1,3.0,1,SPY,large_cap_core,0,1,0
VRTX,1,3.0,1,SPY,large_cap_core,0,1,0
VST,1,3.0,1,SPY,large_cap_core,0,1,0
VTR,1,3.0,1,SPY,large_cap_core,0,1,0
VTRS,1,3.0,1,SPY,large_cap_core,0,1,0
VZ,1,3.0,1,SPY,large_cap_core,0,1,0
WAB,1,3.0,1,SPY,large_cap_core,0,1,0
WAT,1,3.0,1,SPY,large_cap_core,0,1,0
WEC,1,3.0,1,SPY,large_cap_core,0,1,0
WELL,1,3.0,1,SPY,large_cap_core,0,1,0
WFC,1,3.0,1,SPY,large_cap_core,0,1,0
WM,1,3.0,1,SPY,large_cap_core,0,1,0
WMB,1,3.0,1,SPY,large_cap_core,0,1,0
WRB,1,3.0,1,SPY,large_cap_core,0,1,0
WSM,1,3.0,1,SPY,large_cap_core,0,1,0
WST,1,3.0,1,SPY,large_cap_core,0,1,0
WY,1,3.0,1,SPY,large_cap_core,0,1,0
XOM,1,3.0,1,SPY,large_cap_core,0,1,0
XYL,1,3.0,1,SPY,large_cap_core,0,1,0
XYZ,1,3.0,1,SPY,large_cap_core,0,1,0
YUM,1,3.0,1,SPY,large_cap_core,0,1,0
ZBH,1,3.0,1,SPY,large_cap_core,0,1,0
ZBRA,1,3.0,1,SPY,large_cap_core,0,1,0
ZTS,1,3.0,1,SPY,large_cap_core,0,1,0
